Subject Number,Subject,Review Board,Subject Area,Scientific Discipline
207-03,"Plant Cultivation, Plant Nutrition, Agricultural Technology","207
Agriculture, Forestry and Veterinary Medicine","23 
Agriculture, Forestry and Veterinary Medicine","2 
Life Sciences"
207-04,Ecology of Land Use,"207
Agriculture, Forestry and Veterinary Medicine","23 
Agriculture, Forestry and Veterinary Medicine","2 
Life Sciences"
207-05,"Agricultural Economics, Agricultural Policy, Agricultural Sociology","207
Agriculture, Forestry and Veterinary Medicine","23 
Agriculture, Forestry and Veterinary Medicine","2 
Life Sciences"
207-06,Forestry,"207
Agriculture, Forestry and Veterinary Medicine","23 
Agriculture, Forestry and Veterinary Medicine","2 
Life Sciences"
207-07,"Animal Breeding, Animal Nutrition, Animal Husbandry","207
Agriculture, Forestry and Veterinary Medicine","23 
Agriculture, Forestry and Veterinary Medicine","2 
Life Sciences"
207-08,Veterinary Medical Science,"207
Agriculture, Forestry and Veterinary Medicine","23 
Agriculture, Forestry and Veterinary Medicine","2 
Life Sciences"
321-01,Inorganic Molecular Chemistry - Synthesis and Characterisation,"321 
Molecular Chemistry","31 
Chemistry","3
Natural Sciences"
321-02,Organic Molecular Chemistry - Synthesis and Characterisation,"321 
Molecular Chemistry","31 
Chemistry","3
Natural Sciences"
322-01,"Solid State and Surface Chemistry, Material Synthesis","322 
Chemical Solid State and Surface Research","31 
Chemistry","3
Natural Sciences"
322-02,"Physical Chemistry of Solids and Surfaces, Material Characterisation","322 
Chemical Solid State and Surface Research","31 
Chemistry","3
Natural Sciences"
323-01,"Physical Chemistry of Molecules, Liquids and Interfaces, Biophysical Chemistry","323 
Physical Chemistry","31 
Chemistry","3
Natural Sciences"
324-01,Analytical Chemistry,"324 
Analytical Chemistry","31 
Chemistry","3
Natural Sciences"
325-01,Biological and Biomimetic Chemistry,"325 
Biological Chemistry and Food Chemistry","31 
Chemistry","3
Natural Sciences"
325-02,Food Chemistry,"325 
Biological Chemistry and Food Chemistry","31 
Chemistry","3
Natural Sciences"
326-01,Preparatory and Physical Chemistry of Polymers,"326 
Polymer Research","31 
Chemistry","3
Natural Sciences"
326-02,Experimental and Theoretical Physics of Polymers,"326 
Polymer Research","31 
Chemistry","3
Natural Sciences"
326-03,Polymer Materials,"326 
Polymer Research","31 
Chemistry","3
Natural Sciences"
327-01,"Electron Structure, Dynamics, Simulation","327
Theoretical Chemistry","31 
Chemistry","3
Natural Sciences"
327-02,"Molecules, Materials, Surfaces","327
Theoretical Chemistry","31 
Chemistry","3
Natural Sciences"
307-01,Experimental Condensed Matter Physics,"307 
Condensed Matter Physics","32
Physics","3
Natural Sciences"
307-02,Theoretical Condensed Matter Physics,"307 
Condensed Matter Physics","32
Physics","3
Natural Sciences"
308-01,"Optics, Quantum Optics, Atoms, Molecules, Plasmas","308
Optics, Quantum Optics and Physics of Atoms, Molecules and Plasmas","32
Physics","3
Natural Sciences"
309-01,"Nuclear and Elementary Particle Physics, Quantum Mechanics, Relativity, Fields","309
Particles, Nuclei and Fields","32
Physics","3
Natural Sciences"
310-01,"Statistical Physics, Soft Matter, Biological Physics, Nonlinear Dynamics","310
Statistical Physics, Soft Matter, Biological Physics, Nonlinear Dynamics","32
Physics","3
Natural Sciences"
311-01,Astrophysics and Astronomy,"311
Astrophysics and Astronomy","32
Physics","3
Natural Sciences"
312-01,Mathematics,"312
Mathematics","33
Mathematics","3
Natural Sciences"
313-01,Atmospheric Science,"313
Atmospheric Science, Oceanography and Climate Research","34
Geosciences ","3
Natural Sciences"
313-02,Oceanography,"313
Atmospheric Science, Oceanography and Climate Research","34
Geosciences ","3
Natural Sciences"
314-01,Geology and Palaeontology,"314
Geology and Palaeontology","34
Geosciences ","3
Natural Sciences"
315-01,Geophysics,"315
Geophysics and Geodesy","34
Geosciences ","3
Natural Sciences"
315-02,"Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartography","315
Geophysics and Geodesy","34
Geosciences ","3
Natural Sciences"
316-01,"Mineralogy, Petrology and Geochemistry","316
Mineralogy, Petrology and Geochemistry","34
Geosciences ","3
Natural Sciences"
317-01,Physical Geography,"317
Geography","34
Geosciences ","3
Natural Sciences"
317-02,Human Geography,"317
Geography","34
Geosciences ","3
Natural Sciences"
318-01,"Hydrogeology, Hydrology, Limnology, Urban Water Management, Water Chemistry, Integrated Water Resources Management ","318
Water Research","34
Geosciences ","3
Natural Sciences"
401-01,Metal-Cutting and Abrasive Manufacturing Engineering,"401 
Production Technology","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences"
401-02,"Primary Shaping and Reshaping Technology, Additive Manufacturing","401 
Production Technology","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences"
401-03,Joining and Separation Technology,"401 
Production Technology","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences"
401-04,Plastics Engineering,"401 
Production Technology","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences"
401-05,"Production Systems, Operations Management, Quality Management and Factory Planning","401 
Production Technology","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences"
401-06,Production Automation,"401 
Production Technology","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences"
